Symbol,Date,Open,High,Low,Close,Adj Close,Volume
PFE,4/28/22,48.77706517,50.43999863,50.77000046,49.49000168,50.50999832,28225400
PFE,4/29/22,48.22585677,49.86999893,50.34000015,49,49.06999969,28343300
PFE,5/2/22,46.10805914,47.68000031,48.75999832,47.45999908,48.34000015,36228400
PFE,5/3/22,47.25882293,48.86999893,50.04000092,47.70000076,49.29000092,33716900
PFE,5/4/22,47.27816296,48.88999939,49.86999893,47.90999985,49.65999985,28613700
PFE,5/5/22,47.82937268,49.45999908,49.54999924,47.54999924,48.45000076,28333000
PFE,5/6/22,46.504541,48.09000015,49.22000122,48.04000092,49.04000092,19891400
PFE,5/9/22,46.78498472,48.38000107,49.16999817,47.77000046,48.63999939,25012300
PFE,5/10/22,47.42322211,49.04000092,49.90000153,48.68999863,49.49000168,27335900
PFE,5/11/22,47.45222919,49.06999969,50.24000168,49.02999878,49.45000076,29699500
PFE,5/12/22,47.77096002,49,50.43000031,48.72000122,50.38999939,33468400
PFE,5/13/22,49.1163459,50.38000107,50.79000092,49.68000031,49.91999817,22423700
PFE,5/16/22,48.61913744,49.86999893,51.04999924,49.86999893,50.66999817,19435600
PFE,5/17/22,49.67204793,50.95000076,51.52000046,50.18000031,51.34000015,19918200
PFE,5/18/22,49.93527726,51.22000122,51.41999817,50.15999985,50.40000153,22276000
PFE,5/19/22,48.74587595,50,50.88999939,49.59000015,50.65000153,19865500
PFE,5/20/22,49.98402128,51.27000046,52.70000076,51.13000107,52.47000122,31250400
PFE,5/23/22,51.26116395,52.58000183,53.70000076,52.47999954,52.88000107,24035800
PFE,5/24/22,51.38790003,52.70999908,53.61000061,52.70999908,53.40999985,26729800
PFE,5/25/22,51.86561337,53.20000076,54.04999924,53.04999924,53.70999908,24003900
PFE,5/26/22,52.70404334,54.06000137,54.91999817,53.88000107,53.99000168,23516300
PFE,5/27/22,52.56755165,53.91999817,54.40999985,53.52000046,53.90999985,21407500
PFE,5/31/22,51.98260095,53.31999969,53.5,51.93999863,53.04000092,66058200
PFE,6/1/22,51.91435542,53.25,53.27999878,51.84000015,52.36999893,17430600
PFE,6/2/22,51.05643205,52.36999893,52.74000168,51.04000092,52.68000031,21903400
PFE,6/3/22,51.1441752,52.45999908,53.52999878,52.45999908,53.20000076,18125000
PFE,6/6/22,51.85586267,53.18999863,53.72000122,53,53.25999832,16544400
PFE,6/7/22,51.9436041,53.27999878,53.97000122,53.00999832,53.95999908,15091200
PFE,6/8/22,52.70404289,54.06000137,54.56000137,53.40999985,53.47000122,12789800
PFE,6/9/22,51.93385661,53.27000046,53.65000153,51.70000076,51.77999878,17572700
PFE,6/10/22,50.02302255,51.31000137,51.36999893,49.95000076,49.97000122,23826000
PFE,6/13/22,47.59547251,48.81999969,49.27999878,47.70999908,47.90999985,26989000
PFE,6/14/22,46.55231009,47.75,48.47000122,47.22000122,47.91999817,23290300
PFE,6/15/22,46.67905563,47.88000107,48.97999954,47.18000031,48.50999832,25748000
PFE,6/16/22,46.49381718,47.68999863,48,47.06000137,47.47999954,20424500
PFE,6/17/22,46.19159335,47.38000107,48.02999878,46.27999878,46.52999878,45047700
PFE,6/21/22,46.13309644,47.31999969,48.43999863,46.95000076,48.11000061,19622100
PFE,6/22/22,46.82528776,48.02999878,49.58000183,47.77000046,49.06999969,20382900
PFE,6/23/22,47.99518476,49.22999954,50.16999817,48.97999954,50.09000015,20061700
PFE,6/24/22,49.37957644,50.65000153,51.63999939,50.29999924,51.59000015,24343200
PFE,6/27/22,50.18875161,51.47999954,52.22999954,51.25999832,51.88000107,16154300
PFE,6/28/22,50.52997578,51.83000183,51.97000122,50.40999985,50.65999985,16417900
PFE,6/29/22,49.45756451,50.72999954,51.43999863,50.65999985,50.93999863,13925700
